experiment,run,dataset,answer_relevancy,faithfulness,context_precision,context_recall,answer_correctness
threshold_0.3_topk_final_10,r1,hotpotqa,0.658139,0.7416,0.629454,0.885,0.459783
threshold_0.3_topk_final_10,r1,ms_marco,0.711574,0.738169,0.511336,0.597643,0.30887
threshold_0.3_topk_final_10,r1,natural_questions,0.739582,0.790529,0.642049,0.863833,0.406353
threshold_0.3_topk_final_10,r1,triviaqa,0.817114,0.788923,0.833449,0.88,0.516726
threshold_0.3_topk_final_10,r4,hotpotqa,0.663381,0.751641,0.632096,0.87,0.44181
threshold_0.3_topk_final_10,r4,ms_marco,0.71366,0.755553,0.498793,0.595812,0.305973
threshold_0.3_topk_final_10,r4,natural_questions,0.738691,0.800732,0.642997,0.879583,0.417473
threshold_0.3_topk_final_10,r4,triviaqa,0.821702,0.774157,0.832144,0.895,0.513259
threshold_0.3_topk_final_3,r1,hotpotqa,0.617742,0.71498,0.659167,0.82,0.419197
threshold_0.3_topk_final_3,r1,ms_marco,0.683174,0.715462,0.527083,0.543875,0.31981
threshold_0.3_topk_final_3,r1,natural_questions,0.717815,0.771427,0.691667,0.746639,0.394683
threshold_0.3_topk_final_3,r1,triviaqa,0.786007,0.764411,0.847917,0.87,0.516409
threshold_0.3_topk_final_3,r4,hotpotqa,0.61013,0.687286,0.677083,0.8,0.438444
threshold_0.3_topk_final_3,r4,ms_marco,0.701701,0.76999,0.532083,0.542085,0.29622
threshold_0.3_topk_final_3,r4,natural_questions,0.71726,0.771846,0.69625,0.778472,0.415324
threshold_0.3_topk_final_3,r4,triviaqa,0.777433,0.754268,0.8325,0.855,0.498455
threshold_0.3_topk_final_5,r1,hotpotqa,0.633053,0.733151,0.631361,0.84,0.448
threshold_0.3_topk_final_5,r1,ms_marco,0.697592,0.768115,0.519396,0.572194,0.314894
threshold_0.3_topk_final_5,r1,natural_questions,0.735863,0.786588,0.670326,0.821333,0.423757
threshold_0.3_topk_final_5,r1,triviaqa,0.817265,0.764789,0.835882,0.88,0.490302
threshold_0.3_topk_final_5,r4,hotpotqa,0.658057,0.738087,0.637056,0.825,0.449574
threshold_0.3_topk_final_5,r4,ms_marco,0.713215,0.760731,0.506375,0.561658,0.304359
threshold_0.3_topk_final_5,r4,natural_questions,0.721995,0.814114,0.679444,0.8215,0.425975
threshold_0.3_topk_final_5,r4,triviaqa,0.802713,0.75631,0.854215,0.875,0.499874
threshold_0.3_topk_final_7,r1,hotpotqa,0.672897,0.729063,0.650893,0.875,0.463062
threshold_0.3_topk_final_7,r1,ms_marco,0.705835,0.757547,0.504397,0.587312,0.296329
threshold_0.3_topk_final_7,r1,natural_questions,0.73777,0.800931,0.666196,0.8425,0.412442
threshold_0.3_topk_final_7,r1,triviaqa,0.819931,0.787431,0.842638,0.885,0.520673
threshold_0.3_topk_final_7,r4,hotpotqa,0.670345,0.734889,0.635263,0.83,0.452434
threshold_0.3_topk_final_7,r4,ms_marco,0.721152,0.771066,0.511258,0.578099,0.315139
threshold_0.3_topk_final_7,r4,natural_questions,0.75249,0.802125,0.654917,0.854,0.421232
threshold_0.3_topk_final_7,r4,triviaqa,0.807291,0.755351,0.828736,0.87,0.495348
threshold_0.55_topk_final_10,r1,hotpotqa,0.507743,0.588709,0.575717,0.685,0.354284
threshold_0.55_topk_final_10,r1,ms_marco,0.697181,0.764333,0.477638,0.575758,0.302985
threshold_0.55_topk_final_10,r1,natural_questions,0.705724,0.773849,0.644423,0.828333,0.382506
threshold_0.55_topk_final_10,r1,triviaqa,0.809392,0.748882,0.797497,0.875,0.505597
threshold_0.55_topk_final_10,r4,hotpotqa,0.579298,0.687531,0.610503,0.765,0.386329
threshold_0.55_topk_final_10,r4,ms_marco,0.704045,0.773091,0.498278,0.595812,0.286179
threshold_0.55_topk_final_10,r4,natural_questions,0.737621,0.783995,0.64337,0.861944,0.41088
threshold_0.55_topk_final_10,r4,triviaqa,0.818539,0.780609,0.821188,0.885,0.521814
threshold_0.55_topk_final_3,r1,hotpotqa,0.529796,0.591919,0.587083,0.63,0.350578
threshold_0.55_topk_final_3,r1,ms_marco,0.687854,0.728706,0.503333,0.534052,0.315483
threshold_0.55_topk_final_3,r1,natural_questions,0.678109,0.761836,0.66625,0.724583,0.383176
threshold_0.55_topk_final_3,r1,triviaqa,0.76744,0.760065,0.826667,0.85,0.474562
threshold_0.55_topk_final_3,r4,hotpotqa,0.561861,0.647798,0.626667,0.73,0.376042
threshold_0.55_topk_final_3,r4,ms_marco,0.702925,0.788011,0.525,0.526173,0.310599
threshold_0.55_topk_final_3,r4,natural_questions,0.72083,0.774565,0.704583,0.766806,0.410064
threshold_0.55_topk_final_3,r4,triviaqa,0.782223,0.756466,0.845,0.84,0.504225
threshold_0.55_topk_final_5,r1,hotpotqa,0.526478,0.604125,0.587479,0.665,0.383364
threshold_0.55_topk_final_5,r1,ms_marco,0.68599,0.714023,0.490465,0.570431,0.309561
threshold_0.55_topk_final_5,r1,natural_questions,0.696235,0.761862,0.673736,0.783639,0.403633
threshold_0.55_topk_final_5,r1,triviaqa,0.786948,0.780655,0.814708,0.85,0.498952
threshold_0.55_topk_final_5,r4,hotpotqa,0.560231,0.643286,0.63591,0.77,0.381893
threshold_0.55_topk_final_5,r4,ms_marco,0.705851,0.757276,0.512486,0.563342,0.306503
threshold_0.55_topk_final_5,r4,natural_questions,0.738124,0.782091,0.685674,0.795,0.44028
threshold_0.55_topk_final_5,r4,triviaqa,0.81033,0.770325,0.84491,0.87,0.485312
threshold_0.55_topk_final_7,r1,hotpotqa,0.531545,0.623131,0.593736,0.69,0.353681
threshold_0.55_topk_final_7,r1,ms_marco,0.690117,0.723928,0.493659,0.572236,0.299856
threshold_0.55_topk_final_7,r1,natural_questions,0.70286,0.772967,0.659498,0.805694,0.400521
